row	angle	predicted_obs	measured_obs	error	dchi
304	70.000	0.57709E-01	0.63000E-01	0.50000E-02	-0.116E+01
305	90.000	0.64840E-01	0.68000E-01	0.50000E-02	-0.744E+00
306	110.000	0.71292E-01	0.59000E-01	0.50000E-02	0.234E+01
307	130.000	0.76125E-01	0.76000E-01	0.60000E-02	-0.883E-01
308	150.000	0.78965E-01	0.75000E-01	0.60000E-02	0.548E+00
309	170.000	0.80140E-01	0.65000E-01	0.90000E-02	0.161E+01
310	8.440	0.45458E-01	0.70000E-02	0.80000E-02	0.529E+01
311	24.500	0.47657E-01	0.55000E-01	0.10000E-01	-0.328E+00
312	40.500	0.51632E-01	0.74000E-01	0.90000E-02	-0.200E+01
313	56.500	0.56863E-01	0.93000E-01	0.80000E-02	-0.391E+01
314	72.500	0.62796E-01	0.84000E-01	0.70000E-02	-0.226E+01
315	88.500	0.68879E-01	0.95000E-01	0.80000E-02	-0.253E+01
316	104.500	0.74528E-01	0.73000E-01	0.70000E-02	0.113E+01
317	120.500	0.79191E-01	0.73000E-01	0.80000E-02	0.162E+01
318	136.500	0.82518E-01	0.77000E-01	0.11000E-01	0.114E+01
319	152.500	0.84505E-01	0.86000E-01	0.15000E-01	0.381E+00
320	168.500	0.85424E-01	0.10500E+00	0.32000E-01	-0.384E+00
321	18.190	0.49767E-01	0.50300E-01	0.41000E-02	0.879E+00
322	31.790	0.52688E-01	0.54700E-01	0.38000E-02	0.623E+00
323	41.410	0.55499E-01	0.63800E-01	0.38000E-02	-0.971E+00
324	49.460	0.58218E-01	0.58200E-01	0.45000E-02	0.108E+01
325	56.630	0.60854E-01	0.59100E-01	0.46000E-02	0.148E+01
326	63.260	0.63423E-01	0.70000E-01	0.42000E-02	-0.311E+00
327	69.510	0.65922E-01	0.71500E-01	0.46000E-02	-0.216E-01
328	75.520	0.68361E-01	0.75100E-01	0.45000E-02	-0.235E+00
329	81.370	0.70739E-01	0.83500E-01	0.45000E-02	-0.153E+01
