call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_reconstructed	opec_reconstructed	raw_real	raw_imag
3	1	1	6	2	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	5.6579364463686943E-003	5.7855532504618168E-003	6.2569146975874901E-003	9.5216655893182178E-008
3	1	1	6	2	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	1.7872558964882046E-004	1.7897269572131336E-004	1.7754599684849381E-004	-1.1247221903820659E-011
4	1	1	1	1	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-1.3956275582313538E-001	-1.4215143024921417E-001	-1.5081951022148132E-001	-6.6383978492012830E-007
4	1	1	1	1	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-2.6544751599431038E-003	-2.6580162812024355E-003	-2.2467118687927723E-003	-5.9637586535821185E-011
4	1	1	1	2	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-2.0811382681131363E-002	-2.0794512704014778E-002	-2.2228810936212540E-002	1.4354571931107785E-007
4	1	1	1	2	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-8.4987591253593564E-004	-8.4983790293335915E-004	-7.9690123675391078E-004	-4.0336520235051410E-010
4	1	1	2	1	2	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-1.2924722433090210E+000	-1.6682984828948975E+000	-1.1490355730056763E+000	-4.1199929546564817E-004
4	1	1	2	1	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-1.4277365058660507E-002	-1.4884978532791138E-002	-1.2197926640510559E-002	-5.3744901862273764E-008
4	1	1	2	1	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-3.8234231760725379E-004	-3.8353851414285600E-004	-1.0842049232451245E-004	-2.9218016894816401E-012
4	1	1	2	2	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	7.5700823217630386E-003	7.1643623523414135E-003	9.5738219097256660E-003	-6.1819839913823671E-008
4	1	1	2	2	4	124	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
4	1	1	3	1	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	7.2182998061180115E-002	7.1320116519927979E-002	4.9814451485872269E-002	4.4478960603555606E-007
4	1	1	3	1	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	1.8624828662723303E-003	1.8613025313243270E-003	2.4011691566556692E-003	6.7005068160597148E-010
4	1	1	3	2	2	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	4.0682798624038696E-001	4.0983480215072632E-001	3.7614119052886963E-001	8.1629012129269540E-005
4	1	1	3	2	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	1.3826156035065651E-002	1.3831779360771179E-002	1.5020653605461121E-002	2.2281027156623168E-007
4	1	1	3	2	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	5.6673068320378661E-004	5.6674337247386575E-004	5.6299025891348720E-004	-3.4913426316673934E-011
4	1	1	4	1	2	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	2.1965867280960083E-001	8.5831427574157715E-001	1.7662422358989716E-001	1.0946821566903964E-004
4	1	1	4	1	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	1.0593321174383163E-002	1.0390785522758961E-002	9.5970900729298592E-003	8.1760326509083825E-008
4	1	1	4	1	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	2.5445155915804207E-004	2.5405283668078482E-004	2.5526533136144280E-004	7.6109452074035744E-011
4	1	1	4	2	2	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-3.8107421994209290E-001	-4.7849300503730774E-001	-3.5636168718338013E-001	-7.7316042734310031E-005
4	1	1	4	2	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-6.5900813788175583E-003	-6.7253201268613338E-003	-7.7535938471555710E-003	-1.1501645502676183E-007
4	1	1	4	2	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-1.9138515926897526E-004	-1.9165473349858075E-004	5.4914838983677328E-005	-3.4053387280158498E-012
4	1	1	5	1	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-9.7312957048416138E-002	-9.6450075507164001E-002	-9.9860742688179016E-002	-8.8436991063645110E-007
4	1	1	5	1	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-1.7690607346594334E-003	-1.7678803997114301E-003	-1.8074979307129979E-003	-5.2125287419713118E-010
4	1	1	5	2	2	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-4.0045779943466187E-001	-4.0346461534500122E-001	-3.7016868591308594E-001	-8.0340330896433443E-005
4	1	1	5	2	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-1.3857407495379448E-002	-1.3863030821084976E-002	-1.5144840814173222E-002	-2.2465656002168544E-007
4	1	1	5	2	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-5.6654581567272544E-004	-5.6655850494280457E-004	-5.6280661374330521E-004	3.4902039591777623E-011
4	1	1	6	1	2	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-5.0631856918334961E-001	-9.2944532632827759E-001	-4.0278899669647217E-001	-2.4969453806988895E-004
4	1	1	6	1	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-1.0462352074682713E-002	-1.0259816423058510E-002	-1.0522275231778622E-002	-9.3674387358078093E-008
4	1	1	6	1	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	-2.5491093401797116E-004	-2.5451221154071391E-004	-9.1987691121175885E-004	-2.6852825518730583E-010
4	1	1	6	2	2	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	5.4272556304931641E-001	6.4014434814453125E-001	4.9786242842674255E-001	1.0805081547005102E-004
4	1	1	6	2	3	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	5.9868567623198032E-003	6.1220955103635788E-003	6.6207447089254856E-003	9.8210882981675240E-008
4	1	1	6	2	4	134	1.4619999694824219E+002	1.0745559082031250E+003	1.4620001220703125E+002	1.9457952294033021E-004	1.9484909716993570E-004	1.9329528731759638E-004	-1.1987065853813483E-011
5	1	1	1	1	3	134	1.4680000305175781E+002	1.0750795898437500E+003	1.4679992675781250E+002	-1.9655765593051910E-001	-2.0023740828037262E-001	-2.1241484582424164E-001	-7.6502112733578542E-007
5	1	1	1	1	4	134	1.4680000305175781E+002	1.0750795898437500E+003	1.4679992675781250E+002	-4.4403439387679100E-003	-4.4463560916483402E-003	-3.8662662263959646E-003	-8.6554201306210388E-011
5	1	1	1	2	3	134	1.4680000305175781E+002	1.0750795898437500E+003	1.4679992675781250E+002	-2.9288442805409431E-002	-2.9264308512210846E-002	-3.1296711415052414E-002	1.6530887592125509E-007
5	1	1	1	2	4	134	1.4680000305175781E+002	1.0750795898437500E+003	1.4679992675781250E+002	-1.4214400434866548E-003	-1.4213750837370753E-003	-1.3578267535194755E-003	-5.8160865012979457E-010
