row_id	family	branch	legacy_l	state_index	form_selector	dispatch	field	typed	forced_legacy	metadata_exact	value_exact
22	5	2	6	2	3	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
22	5	2	6	2	3	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
22	5	2	6	2	3	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
22	5	2	6	2	3	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
22	5	2	6	2	3	T	born	-3.4559235473352601E-008	-3.4559235473352601E-008	yes	yes
22	5	2	6	2	3	T	ter	9.8330926232725406E-030	9.8330926232725406E-030	yes	yes
22	5	2	6	2	3	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
22	5	2	6	2	3	T	der	-3.4559235473352601E-008	-3.4559235473352601E-008	yes	yes
22	5	2	6	2	3	T	dei	-3.3982415979979583E-037	-3.3982415979979583E-037	yes	yes
23	6	1	5	1	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
23	6	1	5	1	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
23	6	1	5	1	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
23	6	1	5	1	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
23	6	1	5	1	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
23	6	1	5	1	25	T	born	-4.5926930170026026E-007	-4.5926930170026026E-007	yes	yes
23	6	1	5	1	25	T	ter	1.9637384698526685E-024	1.9637384698526685E-024	yes	yes
23	6	1	5	1	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
23	6	1	5	1	25	T	der	-4.5926930170026026E-007	-4.5926930170026026E-007	yes	yes
23	6	1	5	1	25	T	dei	-9.0188478109212282E-031	-9.0188478109212282E-031	yes	yes
24	6	1	6	1	3	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
24	6	1	6	1	3	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
24	6	1	6	1	3	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
24	6	1	6	1	3	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
24	6	1	6	1	3	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
24	6	1	6	1	3	T	born	-8.3106668213872581E-009	-8.3106668213872581E-009	yes	yes
24	6	1	6	1	3	T	ter	1.8596925492381747E-029	1.8596925492381747E-029	yes	yes
24	6	1	6	1	3	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
24	6	1	6	1	3	T	der	-8.3106668213872581E-009	-8.3106668213872581E-009	yes	yes
24	6	1	6	1	3	T	dei	-1.5455285100639132E-037	-1.5455285100639132E-037	yes	yes
25	6	2	5	2	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
25	6	2	5	2	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
25	6	2	5	2	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
25	6	2	5	2	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
25	6	2	5	2	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
25	6	2	5	2	25	T	born	3.6593758068192983E-007	3.6593758068192983E-007	yes	yes
25	6	2	5	2	25	T	ter	2.9041490212974993E-024	2.9041490212974993E-024	yes	yes
25	6	2	5	2	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
25	6	2	5	2	25	T	der	3.6593758068192983E-007	3.6593758068192983E-007	yes	yes
25	6	2	5	2	25	T	dei	1.0627372651490391E-030	1.0627372651490391E-030	yes	yes
26	6	2	6	2	3	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
26	6	2	6	2	3	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
26	6	2	6	2	3	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
26	6	2	6	2	3	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
26	6	2	6	2	3	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
26	6	2	6	2	3	T	born	6.9301169247637517E-009	6.9301169247637517E-009	yes	yes
26	6	2	6	2	3	T	ter	9.8330926232725406E-030	9.8330926232725406E-030	yes	yes
26	6	2	6	2	3	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
26	6	2	6	2	3	T	der	6.9301169247637517E-009	6.9301169247637517E-009	yes	yes
26	6	2	6	2	3	T	dei	6.8144482907240693E-038	6.8144482907240693E-038	yes	yes
