point	lab_energy	row	family	branch	legacy_l	state_index	selector	dispatch	dispatch_title	previous_title	formula_title	pre_reset_energy	input_energy	effective_energy	dither_before	hadronic_real	hadronic_imag	born	opec	ter	tei	der	dei	w_cm	final_meson_energy	photon_cm_momentum	meson_cm_momentum
2	 3.0000000000000000E+002	11	3	1	5	1	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 1.4616626140195876E-004	 2.1364575886195780E-008	 1.4941509068012238E-001	 1.4926332235336304E-001	 1.4616626140195876E-004	 2.1364575886195780E-008	 1.4941509068012238E-001	 2.1839445253135636E-005	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	12	3	1	6	1	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 1.1643913239822723E-005	 1.3558071332298027E-010	 5.0291210412979126E-002	 5.0284594297409058E-002	 1.1643913239822723E-005	 1.3558071332298027E-010	 5.0291210412979126E-002	 5.8558646287565352E-007	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	13	3	2	5	2	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 8.6277592345140874E-005	 7.4438228914175397E-009	 5.9067074209451675E-002	 5.9072770178318024E-002	 8.6277592345140874E-005	 7.4438228914175397E-009	 5.9067074209451675E-002	 5.0961648412339855E-006	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	14	3	2	6	2	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	-4.5626284190802835E-006	 2.0817578563758765E-011	 2.3363113403320312E-002	 2.3363402113318443E-002	-4.5626284190802835E-006	 2.0817578563758765E-011	 2.3363113403320312E-002	-1.0659720572903097E-007	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	15	4	1	5	1	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 1.4616626140195876E-004	 2.1364575886195780E-008	 3.1564287841320038E-002	 3.1438317149877548E-002	 1.4616626140195876E-004	 2.1364575886195780E-008	 3.0260942876338959E-002	 4.4231292122276500E-006	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	16	4	1	6	1	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 1.1643913239822723E-005	 1.3558071332298027E-010	 9.6798203885555267E-003	 9.6737453714013100E-003	 1.1643913239822723E-005	 1.3558071332298027E-010	 9.6940314397215843E-003	 1.1287645662605428E-007	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	17	4	2	5	2	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 8.6277592345140874E-005	 7.4438228914175397E-009	-2.4958904832601547E-002	-2.5035876780748367E-002	 8.6277592345140874E-005	 7.4438228914175397E-009	-2.5929495692253113E-002	-2.2371343675331445E-006	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	18	4	2	6	2	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	-4.5626284190802835E-006	 2.0817578563758765E-011	-8.0667184665799141E-003	-8.0704437568783760E-003	-4.5626284190802835E-006	 2.0817578563758765E-011	-8.1476317718625069E-003	 3.7174615385993093E-008	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	19	5	1	5	1	3	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 1.4616626140195876E-004	 2.1364575886195780E-008	-1.5380440652370453E-001	-1.5365263819694519E-001	 1.4616626140195876E-004	 2.1364575886195780E-008	-1.5380440652370453E-001	-2.2481015548692085E-005	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	20	5	1	6	1	3	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 1.1643913239822723E-005	 1.3558071332298027E-010	-4.9980334937572479E-002	-4.9973718822002411E-002	 1.1643913239822723E-005	 1.3558071332298027E-010	-4.9980334937572479E-002	-5.8196667396259727E-007	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
