point	lab_energy	row	family	branch	legacy_l	state_index	selector	legacy_dispatch	candidate_dispatch	legacy_title	candidate_title	legacy_previous	candidate_previous	legacy_epx	candidate_pre_reset	legacy_input	candidate_input	legacy_effective	candidate_effective	legacy_dither	candidate_dither	legacy_real	candidate_real	legacy_imag	candidate_imag	exact	first_field
1	 2.0000000000000000E+002	14	3	2	6	2	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	2.5259776492703168E-008	 2.5259776492703168E-008	6.3805631369994917E-016	 6.3805631369994917E-016	T	NA
1	 2.0000000000000000E+002	15	4	1	5	1	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.5929455230434542E-006	 1.5929455230434542E-006	2.5374754381024545E-012	 2.5374754381024545E-012	T	NA
1	 2.0000000000000000E+002	16	4	1	6	1	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	9.4136034078928787E-008	 9.4136034078928787E-008	8.8615926256046043E-015	 8.8615926256046043E-015	T	NA
1	 2.0000000000000000E+002	17	4	2	5	2	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.6810497527330881E-006	 1.6810497527330881E-006	2.8259282934539609E-012	 2.8259282934539609E-012	T	NA
1	 2.0000000000000000E+002	18	4	2	6	2	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	2.5259776492703168E-008	 2.5259776492703168E-008	6.3805631369994917E-016	 6.3805631369994917E-016	T	NA
1	 2.0000000000000000E+002	19	5	1	5	1	3	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.5929455230434542E-006	 1.5929455230434542E-006	2.5374754381024545E-012	 2.5374754381024545E-012	T	NA
1	 2.0000000000000000E+002	20	5	1	6	1	3	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	9.4136034078928787E-008	 9.4136034078928787E-008	8.8615926256046043E-015	 8.8615926256046043E-015	T	NA
1	 2.0000000000000000E+002	21	5	2	5	2	3	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.6810497527330881E-006	 1.6810497527330881E-006	2.8259282934539609E-012	 2.8259282934539609E-012	T	NA
1	 2.0000000000000000E+002	22	5	2	6	2	3	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	2.5259776492703168E-008	 2.5259776492703168E-008	6.3805631369994917E-016	 6.3805631369994917E-016	T	NA
1	 2.0000000000000000E+002	23	6	1	5	1	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.5929455230434542E-006	 1.5929455230434542E-006	2.5374754381024545E-012	 2.5374754381024545E-012	T	NA
1	 2.0000000000000000E+002	24	6	1	6	1	3	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	9.4136034078928787E-008	 9.4136034078928787E-008	8.8615926256046043E-015	 8.8615926256046043E-015	T	NA
1	 2.0000000000000000E+002	25	6	2	5	2	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.6810497527330881E-006	 1.6810497527330881E-006	2.8259282934539609E-012	 2.8259282934539609E-012	T	NA
1	 2.0000000000000000E+002	26	6	2	6	2	3	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	2.5259776492703168E-008	 2.5259776492703168E-008	6.3805631369994917E-016	 6.3805631369994917E-016	T	NA
2	 3.0000000000000000E+002	1	1	1	5	3	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	4.7164765419438481E-005	 4.7164765419438481E-005	2.2245150166355643E-009	 2.2245150166355643E-009	T	NA
