sequence	row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	pre_reset_energy	post_reset_energy	epxx	dispatch	dispatch_branch	dispatch_title	previous_title	effective_energy	dither_before	hadronic_real	hadronic_imag
77	23	6	1	5	2	5	1	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.9934394518704721E-008	8.9606800220820701E-016
77	24	6	1	6	0	3	1	3	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	9.4552243812273673E-010	8.9401267014424955E-019
77	25	6	2	5	2	5	2	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	3.8716226669066600E-008	1.4989462435152970E-015
77	26	6	2	6	0	3	2	3	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	4.1088019098189932E-010	1.6882256116430642E-019
78	1	1	1	5	2	5	3	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	2.6330125635354307E-008	6.9327550326220028E-016
78	2	1	1	6	2	5	3	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	6.7697869532423738E-010	4.5830014216804097E-019
78	3	1	2	2	2	1	4	21	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	2.3539006710052490E-002	5.5439217248931527E-004
78	4	1	2	5	2	5	4	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	-1.1489706075451522E-008	1.3201334061247372E-016
78	5	1	2	6	2	5	4	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	1.4715406670973152E-009	2.1654318714397996E-018
78	6	2	1	5	2	5	3	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	2.6330125635354307E-008	6.9327550326220028E-016
78	7	2	1	6	2	5	3	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	6.7697869532423738E-010	4.5830014216804097E-019
78	8	2	2	2	2	1	4	21	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	2.3539006710052490E-002	5.5439217248931527E-004
78	9	2	2	5	2	5	4	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	-1.1489706075451522E-008	1.3201334061247372E-016
78	10	2	2	6	2	5	4	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	1.4715406670973152E-009	2.1654318714397996E-018
78	11	3	1	5	2	5	1	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	3.2657496262800123E-008	1.0665121011403352E-015
78	12	3	1	6	2	5	1	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	1.0479088707882056E-009	1.0981129722443853E-018
78	13	3	2	5	2	5	2	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	4.2117598297863879E-008	1.7738920794028589E-015
78	14	3	2	6	2	5	2	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	4.5313619523312809E-010	2.0533241347192760E-019
78	15	4	1	5	2	5	1	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	3.2657496262800123E-008	1.0665121011403352E-015
78	16	4	1	6	2	5	1	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	1.0479088707882056E-009	1.0981129722443853E-018
78	17	4	2	5	2	5	2	25	2.0487146377563477E+001	2.0487146377563477E+001	2.0487146377563477E+001	T	7	SP00	SP00	2.0487146377563477E+001	1.0000000474974513E-003	4.2117598297863879E-008	1.7738920794028589E-015
