row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact
695	yes	no	yes	yes	no	no
696	yes	no	yes	yes	no	no
697	yes	no	yes	yes	no	no
698	yes	no	yes	yes	no	no
699	yes	no	yes	yes	no	no
700	yes	no	yes	yes	no	no
701	yes	no	yes	yes	no	no
702	yes	no	yes	yes	no	no
703	yes	no	yes	yes	no	no
704	yes	no	yes	yes	no	no
705	yes	no	yes	yes	no	no
706	yes	no	yes	yes	no	no
707	yes	no	yes	yes	no	no
708	yes	no	yes	yes	no	no
709	yes	no	yes	yes	no	no
710	yes	no	yes	yes	no	no
711	yes	no	yes	yes	no	no
712	yes	no	yes	yes	no	no
713	yes	no	yes	yes	no	no
714	yes	no	yes	yes	no	no
715	yes	no	yes	yes	no	no
716	yes	no	yes	yes	no	no
717	yes	no	yes	yes	no	no
718	yes	no	yes	yes	no	no
719	yes	no	yes	yes	no	no
720	yes	no	yes	yes	no	no
721	yes	no	yes	yes	no	no
722	yes	no	yes	yes	no	no
723	yes	no	yes	yes	no	no
724	yes	no	yes	yes	no	no
725	yes	no	yes	yes	no	no
726	yes	no	yes	yes	no	no
727	yes	no	yes	yes	no	no
728	yes	no	yes	yes	no	no
729	yes	no	yes	yes	no	no
730	yes	no	yes	yes	no	no
731	yes	no	yes	yes	no	no
732	yes	no	yes	yes	no	no
733	yes	no	yes	yes	no	no
734	yes	no	yes	yes	no	no
735	yes	no	yes	yes	no	no
736	yes	no	yes	yes	no	no
737	yes	no	yes	yes	no	no
738	yes	no	yes	yes	no	no
739	yes	no	yes	yes	no	no
740	yes	no	yes	yes	no	no
741	yes	no	yes	yes	no	no
742	yes	no	yes	yes	no	no
743	yes	no	yes	yes	no	no
744	yes	no	yes	yes	no	no
745	yes	no	yes	yes	no	no
746	yes	no	yes	yes	no	no
747	yes	no	yes	yes	no	no
748	yes	no	yes	yes	no	no
749	yes	no	yes	yes	no	no
750	yes	no	yes	yes	no	no
751	yes	no	yes	yes	no	no
752	yes	no	yes	yes	no	no
753	yes	no	yes	yes	no	no
754	yes	no	yes	yes	no	no
755	yes	no	yes	yes	no	no
756	yes	no	yes	yes	no	no
757	yes	no	yes	yes	no	no
758	yes	no	yes	yes	no	no
759	yes	no	yes	yes	no	no
760	yes	no	yes	yes	no	no
761	yes	no	yes	yes	no	no
762	yes	no	yes	yes	no	no
763	yes	no	yes	yes	no	no
764	yes	no	yes	yes	no	no
765	yes	no	yes	yes	no	no
766	yes	no	yes	yes	no	no
767	yes	no	yes	yes	no	no
768	yes	no	yes	yes	no	no
769	yes	no	yes	yes	no	no
770	yes	no	yes	yes	no	no
771	yes	no	yes	yes	no	no
772	yes	no	yes	yes	no	no
773	yes	no	yes	yes	no	no
774	yes	no	yes	yes	no	no
775	yes	no	yes	yes	no	no
776	yes	no	yes	yes	no	no
777	yes	no	yes	yes	no	no
778	yes	no	yes	yes	no	no
779	yes	no	yes	yes	no	no
780	yes	no	yes	yes	no	no
781	yes	no	yes	yes	no	no
782	yes	no	yes	yes	no	no
783	yes	no	yes	yes	no	no
784	yes	no	yes	yes	no	no
785	yes	no	yes	yes	no	no
786	yes	no	yes	yes	no	no
787	yes	no	yes	yes	no	no
788	yes	no	yes	yes	no	no
789	yes	no	yes	yes	no	no
790	yes	no	yes	yes	no	no
791	yes	no	yes	yes	no	no
792	yes	no	yes	yes	no	no
793	yes	no	yes	yes	no	no
794	yes	no	yes	yes	yes	no
795	yes	no	yes	yes	no	no
796	yes	no	yes	yes	no	no
797	yes	no	yes	yes	no	no
798	yes	no	yes	yes	no	no
799	yes	no	yes	yes	no	no
800	yes	no	yes	yes	no	no
801	yes	no	yes	yes	no	no
802	yes	no	yes	yes	no	no
803	yes	no	yes	yes	no	no
