call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_argument	opec_original	raw_real	raw_imag	return_real	return_imag
79	1	1	4	1	2	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	7.5777113437652588E-001	3.4111199378967285E+000	7.4606281518936157E-001	-3.9094476960599422E-003	-2.6650571823120117E+000	-3.9094476960599422E-003
79	1	1	4	1	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.7174535989761353E-001	1.6678465902805328E-001	1.5585012733936310E-001	1.1267889931332320E-005	-1.0934531688690186E-002	1.1267889931332320E-005
79	1	1	4	1	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.6684604808688164E-002	1.6636544838547707E-002	1.7629997804760933E-002	3.3154950784819448E-008	9.9345296621322632E-004	3.3154950784819448E-008
79	1	1	4	2	2	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.4443155527114868E+000	-1.9182833433151245E+000	-1.4687995910644531E+000	3.5984492860734463E-003	4.4948375225067139E-001	3.5984492860734463E-003
79	1	1	4	2	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.0415925830602646E-001	-1.0739603638648987E-001	-1.2444122135639191E-001	-1.8457130863680504E-005	-1.7045184969902039E-002	-1.8457130863680504E-005
79	1	1	4	2	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.2536996975541115E-002	-1.2568753212690353E-002	-8.4307212382555008E-003	3.3915956709762440E-009	4.1380319744348526E-003	3.3915956709762440E-009
79	1	1	5	1	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.4583903551101685E+000	-1.4402999877929688E+000	-1.5765254497528076E+000	-1.1402735981391743E-004	-1.3622546195983887E-001	-1.1402735981391743E-004
79	1	1	5	1	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.0335639864206314E-001	-1.0323522239923477E-001	-1.0663225501775742E-001	-2.0048297244557034E-007	-3.3970326185226440E-003	-2.0048297244557034E-007
79	1	1	5	2	1	135	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.9063308715820312E+001	-3.5760425567626953E+001	-2.0342348098754883E+001	-1.6051943302154541E+000	1.5418077468872070E+001	-1.6051943302154541E+000
79	1	1	5	2	2	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.4171465635299683E+000	-1.4333498477935791E+000	-1.3764938116073608E+000	3.3723062369972467E-003	5.6856036186218262E-002	3.3723062369972467E-003
79	1	1	5	2	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.9852083921432495E-001	-1.9867016375064850E-001	-2.1714799106121063E-001	-3.2207390177063644E-005	-1.8477827310562134E-002	-3.2207390177063644E-005
