call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	spw	sopw	opec_original	storage_real	storage_imag	return_real	return_imag
4	1	1	2	1	4	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.8353851414285600E-004	-1.0842049232451245E-004	-2.9218016894816401E-012	2.7511801454238594E-004	-2.9218016894816401E-012
4	1	1	2	2	3	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	7.1643623523414135E-003	9.5738219097256660E-003	-6.1819839913823671E-008	2.4094595573842525E-003	-6.1819839913823671E-008
4	1	1	2	2	4	124	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.0289404094219208E-004	0.0000000000000000E+000	0.0000000000000000E+000	-3.0289404094219208E-004	0.0000000000000000E+000
4	1	1	3	1	3	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	7.1320116519927979E-002	4.9814451485872269E-002	4.4478960603555606E-007	-2.1505665034055710E-002	4.4478960603555606E-007
4	1	1	3	1	4	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.8613025313243270E-003	2.4011691566556692E-003	6.7005068160597148E-010	5.3986662533134222E-004	6.7005068160597148E-010
4	1	1	3	2	1	135	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0615113258361816E+001	1.8223327636718750E+001	-9.8288759589195251E-002	7.6082143783569336E+000	-9.8288759589195251E-002
4	1	1	3	2	2	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	4.0983480215072632E-001	3.7614119052886963E-001	8.1629012129269540E-005	-3.3693611621856689E-002	8.1629012129269540E-005
4	1	1	3	2	3	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.3831779360771179E-002	1.5020653605461121E-002	2.2281027156623168E-007	1.1888742446899414E-003	2.2281027156623168E-007
4	1	1	3	2	4	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.6674337247386575E-004	5.6299025891348720E-004	-3.4913426316673934E-011	-3.7531135603785515E-006	-3.4913426316673934E-011
4	1	1	4	1	2	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	8.5831427574157715E-001	1.7662422358989716E-001	1.0946821566903964E-004	-6.8169003725051880E-001	1.0946821566903964E-004
4	1	1	4	1	3	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0390785522758961E-002	9.5970900729298592E-003	8.1760326509083825E-008	-7.9369544982910156E-004	8.1760326509083825E-008
4	1	1	4	1	4	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.5405283668078482E-004	2.5526533136144280E-004	7.6109452074035744E-011	1.2124946806579828E-006	7.6109452074035744E-011
4	1	1	4	2	2	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.7849300503730774E-001	-3.5636168718338013E-001	-7.7316042734310031E-005	1.2213131785392761E-001	-7.7316042734310031E-005
4	1	1	4	2	3	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-6.7253201268613338E-003	-7.7535938471555710E-003	-1.1501645502676183E-007	-1.0282737202942371E-003	-1.1501645502676183E-007
4	1	1	4	2	4	134	1.4619999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.9165473349858075E-004	5.4914838983677328E-005	-3.4053387280158498E-012	2.4656957248225808E-004	-3.4053387280158498E-012
5	1	1	1	1	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.0024384558200836E-001	-2.1241484582424164E-001	-7.6502112733578542E-007	-1.2171000242233276E-002	-7.6502112733578542E-007
5	1	1	1	1	4	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.4465702958405018E-003	-3.8662662263959646E-003	-8.6554201306210388E-011	5.8030406944453716E-004	-8.6554201306210388E-011
5	1	1	1	2	1	135	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4617475891113281E+002	-2.7778276443481445E+001	-4.1586387902498245E-002	1.1839648437500000E+002	-4.1586387902498245E-002
5	1	1	1	2	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.9265247285366058E-002	-3.1296711415052414E-002	1.6530887592125509E-007	-2.0314641296863556E-003	1.6530887592125509E-007
5	1	1	1	2	4	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4214441180229187E-003	-1.3578267535194755E-003	-5.8160865012979457E-010	6.3617364503443241E-005	-5.8160865012979457E-010
5	1	1	2	1	2	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.9826198816299438E+000	-1.3742221593856812E+000	-4.4755224371328950E-004	6.0839772224426270E-001	-4.4755224371328950E-004
5	1	1	2	1	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.1008320152759552E-002	-1.7206894233822823E-002	-6.2036228598572052E-008	3.8014259189367294E-003	-6.2036228598572052E-008
