call_id	energy_index	reaction	family	branch	legacy_l	selector	typed_request_energy	typed_w_cm	typed_reconstructed_energy	typed_born_argument	typed_opec_original	typed_raw_real	typed_raw_imag	typed_return_real	typed_return_imag	forced_request_energy	forced_w_cm	forced_reconstructed_energy	forced_born_reconstructed	forced_opec_reconstructed	forced_opec_original	forced_raw_real	forced_raw_imag	forced_return_real	forced_return_imag	return_evaluated	request_exact	w_exact	reconstructed_energy_exact	typed_roundtrip_exact	forced_roundtrip_exact	born_exact	original_opec_exact	raw_real_exact	raw_imag_exact	return_real_exact	return_imag_exact
1	1	1	5	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.3299155756831169E-002	-2.3095928132534027E-002	-2.3861484602093697E-002	-2.8762903525603178E-007	-7.6555646955966949E-004	-2.8762903525603178E-007	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.3294629529118538E-002	-2.3091441020369530E-002	-2.3095928132534027E-002	-2.3856816813349724E-002	-2.8757449399563484E-007			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	5	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.0713476988021284E-004	-2.0700029563158751E-004	-2.1116368588991463E-004	-8.0454920503569838E-011	-4.1633902583271265E-006	-8.0454920503569838E-011	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.0707436488009989E-004	-2.0693993428722024E-004	-2.0700029563158751E-004	-2.1110194211360067E-004	-8.0431647453416133E-011			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	5	2	1	135	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.1069961547851562E+001	-3.8096515655517578E+001	-2.4152690887451172E+001	2.9522472620010376E-001	1.3943824768066406E+001	2.9522472620010376E-001	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.1069969177246094E+001	-3.8096527099609375E+001	-3.8096515655517578E+001	-2.4152700424194336E+001	2.9522484540939331E-001			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	5	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.9679394364356995E-001	-1.9824130833148956E-001	-1.8049092590808868E-001	-4.4673623051494360E-005	1.7750382423400879E-002	-4.4673623051494360E-005	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.9677479565143585E-001	-1.9822204113006592E-001	-1.9824130833148956E-001	-1.8047349154949188E-001	-4.4669312046607956E-005			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	5	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.3246742095798254E-003	-3.3259831834584475E-003	-3.6333943717181683E-003	-7.4749593181877572E-008	-3.0741118825972080E-004	-7.4749593181877572E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.3240278717130423E-003	-3.3253366127610207E-003	-3.3259831834584475E-003	-3.6326798144727945E-003	-7.4734892052674695E-008			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	5	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-6.6355030867271125E-005	-6.6356456954963505E-005	-6.5917083702515811E-005	5.3773738933893256E-012	4.3937325244769454E-007	5.3773738933893256E-012	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-6.6335669544059783E-005	-6.6337095631752163E-005	-6.6356456954963505E-005	-6.5897853346541524E-005	5.3758048360053046E-012			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	6	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.4768546223640442E-001	-4.5405817031860352E-001	-1.9332252442836761E-001	-1.4032219769433141E-004	2.6073563098907471E-001	-1.4032219769433141E-004	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.4766138195991516E-001	-4.5401397347450256E-001	-4.5405817031860352E-001	-1.9330404698848724E-001	-1.4030878082849085E-004			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	6	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.4952765088528395E-003	-2.4479336570948362E-003	-2.5015203282237053E-003	-3.0562983255322251E-008	-5.3586671128869057E-005	-3.0562983255322251E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.4947903584688902E-003	-2.4474568199366331E-003	-2.4479336570948362E-003	-2.5010188110172749E-003	-3.0557128383179588E-008			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	6	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.9678200007765554E-005	-2.9633127269335091E-005	-1.8651594291441143E-004	-7.1770603349285977E-011	-1.5688281564507633E-004	-7.1770603349285977E-011	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.9669530704268254E-005	-2.9624470698763616E-005	-2.9633127269335091E-005	-1.8650709534995258E-004	-7.1767265741318198E-011			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	6	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.6527899503707886E-001	3.1241643428802490E-001	2.4240271747112274E-001	5.9996284107910469E-005	-7.0013716816902161E-002	5.9996284107910469E-005	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.6525321602821350E-001	3.1238603591918945E-001	3.1241643428802490E-001	2.4237926304340363E-001	5.9990477893734351E-005			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
