boundary	row	category	field	typed	forced_legacy
final	34	value	a3_real	-1.5589756965637207E+000	-1.5589755773544312E+000
final	34	value	a4_real	-1.7779735326766968E+000	-1.7779840230941772E+000
final	34	value	dsg	4.3464414775371552E-003	4.3464670889079571E-003
final	35	value	a2_real	4.6477675437927246E-001	4.6477913856506348E-001
final	35	value	a2_imag	5.7932052761316299E-002	5.7932049036026001E-002
final	35	value	a4_real	-2.3292512893676758E+000	-2.3292608261108398E+000
final	35	value	a4_imag	-2.1642471849918365E-001	-2.1642473340034485E-001
final	35	value	dsg	4.6989545226097107E-003	4.6989861875772476E-003
final	36	value	a2_real	1.7497582733631134E-001	1.7497695982456207E-001
final	36	value	a2_imag	1.9513102248311043E-002	1.9513100385665894E-002
final	36	value	a4_real	-2.6415436267852783E+000	-2.6415541172027588E+000
final	36	value	a4_imag	-2.2324842214584351E-001	-2.2324840724468231E-001
final	36	value	dsg	4.8804185353219509E-003	4.8804562538862228E-003
final	37	value	a1_real	3.5701403021812439E-001	3.5701885819435120E-001
final	37	value	a1_imag	-4.2314830352552235E-005	-4.2313979065511376E-005
final	37	value	a2_real	-1.8830213546752930E+000	-1.8830069303512573E+000
final	37	value	a2_imag	8.4981821477413177E-002	8.4981858730316162E-002
final	37	value	a3_real	-2.9060689732432365E-002	-2.9061013832688332E-002
final	37	value	a3_imag	3.1502247566095321E-006	3.1501606372330571E-006
final	37	value	a4_real	1.2779498100280762E-001	1.2779535353183746E-001
final	37	value	a4_imag	-6.2886727973818779E-003	-6.2886755913496017E-003
final	37	value	dsg	2.9688177164644003E-003	2.9687767382711172E-003
final	38	value	a1_real	9.8865979909896851E-001	9.8867315053939819E-001
final	38	value	a1_imag	-1.1696665023919195E-004	-1.1696428555296734E-004
final	38	value	a2_real	-1.6795070171356201E+000	-1.6795042753219604E+000
final	38	value	a2_imag	8.3303458988666534E-002	8.3303488790988922E-002
final	38	value	a3_real	-2.3703293502330780E-001	-2.3703558743000031E-001
final	38	value	a3_imag	2.5623709007049911E-005	2.5623185138101690E-005
final	38	value	a4_real	3.2766020298004150E-001	3.2766163349151611E-001
final	38	value	a4_imag	-1.8139438703656197E-002	-1.8139444291591644E-002
final	38	value	dsg	3.1866738572716713E-003	3.1866892240941525E-003
final	39	value	a1_real	1.4871581792831421E+000	1.4871780872344971E+000
final	39	value	a1_imag	-1.7533752543386072E-004	-1.7533400387037545E-004
final	39	value	a2_real	-1.3122069835662842E+000	-1.3122016191482544E+000
final	39	value	a2_imag	8.0031186342239380E-002	8.0031208693981171E-002
final	39	value	a3_real	-6.0691958665847778E-001	-6.0692626237869263E-001
final	39	value	a3_imag	6.5266889578197151E-005	6.5265558077953756E-005
final	39	value	a4_real	4.0849182009696960E-001	4.0849202871322632E-001
final	39	value	a4_imag	-2.9610944911837578E-002	-2.9610948637127876E-002
final	39	value	dsg	3.5937542561441660E-003	3.5937973298132420E-003
final	40	value	a1_real	1.7939965724945068E+000	1.7940199375152588E+000
final	40	value	a1_imag	-2.1049856150057167E-004	-2.1049432689324021E-004
final	40	value	a2_real	-8.3907032012939453E-001	-8.3907985687255859E-001
final	40	value	a2_imag	7.5215674936771393E-002	7.5215704739093781E-002
final	40	value	a3_real	-1.0690190792083740E+000	-1.0690306425094604E+000
final	40	value	a3_imag	1.1412495223339647E-004	1.1412262392695993E-004
final	40	value	a4_real	3.1791529059410095E-001	3.1792160868644714E-001
final	40	value	a4_imag	-4.0532786399126053E-002	-4.0532797574996948E-002
final	40	value	dsg	4.1538574732840061E-003	4.1539613157510757E-003
final	41	value	a1_real	1.8797761201858521E+000	1.8798002004623413E+000
final	41	value	a1_imag	-2.1928558999206871E-004	-2.1928119531366974E-004
final	41	value	a2_real	-3.3434382081031799E-001	-3.3435490727424622E-001
final	41	value	a2_imag	6.8938441574573517E-002	6.8938456475734711E-002
final	41	value	a3_real	-1.5331578254699707E+000	-1.5331736803054810E+000
final	41	value	a3_imag	1.6224247519858181E-004	1.6223918646574020E-004
final	41	value	a4_real	3.3663284033536911E-002	3.3682025969028473E-002
final	41	value	a4_imag	-5.0695851445198059E-002	-5.0695862621068954E-002
final	41	value	dsg	4.8208488151431084E-003	4.8209670931100845E-003
final	42	value	a1_real	1.7514524459838867E+000	1.7514742612838745E+000
final	42	value	a1_imag	-2.0301975018810481E-004	-2.0301570475567132E-004
final	42	value	a2_real	1.2459444999694824E-001	1.2458334863185883E-001
final	42	value	a2_imag	6.1309132725000381E-002	6.1309151351451874E-002
final	42	value	a3_real	-1.9041150808334351E+000	-1.9041343927383423E+000
final	42	value	a3_imag	1.9957122276537120E-004	1.9956720643676817E-004
